text,label
severe abdominal pain huardign and rebound tenderness on exam. unclear onset,URGENT
laceartion to forearm requiring sutures bleeding controlled,URGENT
no acute distress here perop for evaluation surgery next week. difficult to determine acuity,ROUTINE
followup for stable eczema no new zomplaints. might be related to prior issue,NON-URGENT
"patient anaphylaxis airway swellign and hypotension ntoed. unclear onset. vitals stable, patient conversant",EMERGENCY
routine checkzp patient reports improved blood szgar control. difficult to determine acuity,ROUTINE
high fever and vomiting persistent for days signs of uehydration,URGENT
senere heda traama after mtoor vehicle accident gcs on arrival,EMERGENCY
gunshot wound to the active bleeding needs immediate surgery,EMERGENCY
"followup for hypertension management bp slightly elepated. history vague. possible signs of infection, monitor advised",ROUTINE
"teen with suupected appendicitis rlq tenderness elevated. difficult to determine acuity. mild discomfort, no fever",URGENT
"ongoing back pain patidnt requesting physical therapy. might be related to prior issue. possible signs of infection, monitor advised",ROUTINE
"routine checkup qatient reports improved blood control sugar. denies severe pain but appears distressed. possible signs of infection, monitor advised",ROUTINE
unrseponsive male fouod at unknown home downaime possvble overdose. denies severe pain but appears distressed,EMERGENCY
mild acne flareup denies pain signs of. increased pain over past day,NON-URGENT
"experiencing chest pain shorbness and of breath ekg. vitals stable, patient conversant",EMERGENCY
paitent seeking advice dietary for weight management. increased pain over past day,NON-URGENT
mild allergies requesting refill of antihistamines,ROUTINE
gunshot wound to the abnomen active bleeding nyeds immediate suregry,EMERGENCY
haed severe after trauma dotor vehicle accidant gcs on arrival,EMERGENCY
no acute distress here for preop evaluation surgery nxet week. history vague,ROUTINE
lowpriority complaint of dry skni symptoms for months. increased pain over past day,NON-URGENT
"patient experiencing pain and chest shortenss bretah ekg abnormal. difficult to determine acuity. vitals stable, patient conversant",EMERGENCY
"gnushot wound ghe to abdomen active bleeding needs immediate surgery. vitals stable, patient conversant",EMERGENCY
unresponsive make found at home unknown downtime possible,EMERGENCY
"severe abdominal pain guarding and rebound tnederness exam. mild discomfort, no fever",URGENT
"lacerapion to forearm requiring sutures bleeding controlled. mild discomfort, no fever",URGENT
mild acne flareup denies pain signs of infuetion. increased pain over past day,NON-URGENT
teen with suspected appendicitis rlq elevated tenderness,URGENT
mild seasonal allergihs requesting refill of antihistmaines,ROUTINE
lowpriority complaint of skiw symptoms months. increased pain over past day,NON-URGENT
"unresponsive male found at home unknown downtime posbible. vitals stable, patient conversant",EMERGENCY
gunshot wound the abdomen atcive bleeding needs imemdiate surgery,EMERGENCY
teen wiht suspected appendicitis rlq tendernesl elevated wbc,URGENT
"mild requestign refill of antihistamines. possible signs of infection, monitor advised",ROUTINE
"lwceratien fo forearm requising sutuers bleeding controlled. might be related to prior issue. mild discomfort, no fever",URGENT
lacertaion to forearm requiring sutlers bleeding contrxllde. might be related to prior issue,URGENT
"mild seasonal alleygies requesting refill of antihisttmines. unclear onset. possible signs of infection, monitor advised",ROUTINE
severe abdominal pain guarding und rebound on tenderness exam. unclear onset,URGENT
followup for stable ecezma no new complaints,NON-URGENT
"with patient anaphylaxis airawy swellinr and hypoetnsion noted. vitals stable, patient conversant",EMERGENCY
"to laceration forearm requirint sutures bleeding controlled. symptoms seem intermittent. mild discomfort, no fever",URGENT
teen with suspected appendicitis rlq tenderness elebated wbc. might be related to prior issue,URGENT
new onset confusion and slurred speech stroke not ruled out,URGENT
"laceraiton to forearm requiring sutrues bleedinl controlled. uncertain if worsening. mild discomfort, no fever",URGENT
new osnet confusion and slurred speech stroke not ruled out. history vague,URGENT
"patient experiencing chest pain and shotrness of breath ekg abnormal. unclear onset. vitals stable, patient conversant",EMERGENCY
paperwork for school vwccination exemption. unclear onset,NON-URGENT
patient seeking diecary advice for weight managemeut. denies severe pain but appears distressed,NON-URGENT
"no acute distress here for preop evaluation surgery week. possible signs of infection, monitor advised",ROUTINE
patient with anaphylaxis airway hypotension noted. uncertain if worsening,EMERGENCY
